,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,139.97187418937682,1.7770365419953782,0.07271676063537598,0.009363295925286291,0.01,3,100,0.01,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01}",-0.4827569348828414,-0.4851852751010447,-0.4884264448228039,-0.48382478946040913,-0.481336623023389,-0.4843060134580976,0.002416590829661554,52,-0.48383518489720234,-0.48373286090514517,-0.48231400757939946,-0.4839274166108715,-0.48490828500941463,-0.48374355100040667,0.0008297610880458325
1,139.24865055084229,1.414621836198844,0.07214736938476562,0.01512720027225533,0.01,3,100,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1}",-0.4827629081532228,-0.4852105124672003,-0.48843149560768495,-0.48383056668088753,-0.48134323580707333,-0.48431574374321384,0.0024175410259637984,53,-0.4838400519531285,-0.4837484481905028,-0.48231919477593294,-0.48393294443960505,-0.48491377164078275,-0.4837508821999904,0.0008298366779169321
2,141.5847249031067,2.779603500430777,0.06522660255432129,0.0073934047129301265,0.01,3,100,1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 1}",-0.48282537043413554,-0.4851502751252038,-0.4884463370483297,-0.4838994972507605,-0.48140064026598695,-0.4843444240248832,0.0023935928188747466,54,-0.48390243322936133,-0.4837154509858234,-0.4823289250600586,-0.4839969422825877,-0.4849730141060269,-0.4837833531327716,0.0008479463834306473
3,275.2406539440155,1.4444389323774083,0.09054489135742187,0.021100396248957903,0.01,3,200,0.01,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0.01}",-0.42088026992356986,-0.42319540564394886,-0.4281625972969389,-0.4214954087863154,-0.4187053492917568,-0.422487806188506,0.003180564627119443,43,-0.4215375776912287,-0.421281221303184,-0.4196438731411838,-0.42203689438481407,-0.4227792594138901,-0.4214557651868601,0.0010401403513066163
4,278.9463305950165,3.6915213807983376,0.0701176643371582,0.009614250186511776,0.01,3,200,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0.1}",-0.4208353407101184,-0.4232638405010044,-0.4281699717193004,-0.42150586223291314,-0.41881383011257983,-0.42251776905518323,0.003164733853021166,44,-0.42150253173032803,-0.4213204957127018,-0.41965208131356446,-0.4220466786043895,-0.42287475401898544,-0.4214793082759938,0.0010614798201093291
5,278.05537486076355,3.1340243714301943,0.079524564743042,0.012635550408728586,0.01,3,200,1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 1}",-0.42092478714987464,-0.4232253520273194,-0.4282224375562742,-0.4215819717855018,-0.41880861358050225,-0.42255263241989455,0.0031688793386540114,45,-0.4215955035401981,-0.4212943700304374,-0.4197014759749856,-0.42212969977959425,-0.42290659236615347,-0.4215255283382738,0.001063753608294129
6,234.03085145950317,2.762704848799588,0.07932281494140625,0.011179912279435747,0.01,5,100,0.01,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.01}",-0.4602157481642409,-0.462766507236798,-0.4661008073943925,-0.4612272497674229,-0.4594609523830738,-0.4619542529891856,0.0023503680997389487,49,-0.459881710588155,-0.45913455834371636,-0.4580213806253332,-0.4604095987753418,-0.45988944395710235,-0.45946733845792975,0.0008293694567045314
7,233.92058310508727,2.417306540355742,0.07442989349365234,0.011595156663913942,0.01,5,100,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1}",-0.46023445080796765,-0.46279712840706483,-0.46609039146559794,-0.4612506507409806,-0.45944656111046817,-0.46196383650641587,0.0023477187000106167,50,-0.45990039935127114,-0.4591669724544674,-0.4580304234224263,-0.4604353138774588,-0.45987732312167307,-0.45948208644545935,0.0008302364258775665
8,234.43892669677734,3.2660427056021475,0.07068133354187012,0.009067643129441413,0.01,5,100,1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 1}",-0.4604314402504249,-0.4631769625090293,-0.46634574970204423,-0.4614486893884585,-0.45971069034930767,-0.46222270643985297,0.0023676170376079287,51,-0.46014814775630447,-0.4595110243680011,-0.4583972713179803,-0.4606955278796104,-0.4602238642062383,-0.45979516710562696,0.0007942135475574651
9,470.13360075950624,10.641701398708573,0.08785748481750488,0.011139055352858205,0.01,5,200,0.01,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'reg_alpha': 0.01}",-0.39664983866139786,-0.3985444301452124,-0.4041767787528866,-0.39633476663595435,-0.39443343519779017,-0.39802784987864825,0.00333950427913403,40,-0.39427067675099736,-0.39242457887975657,-0.3920711982288728,-0.3945217785402484,-0.39428741822406316,-0.39351513012478767,0.001044496240595256
10,472.298699426651,10.663269279704666,0.08693118095397949,0.009653024030895588,0.01,5,200,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'reg_alpha': 0.1}",-0.3966627845088058,-0.3986591733043605,-0.40419502364540333,-0.3964658893422148,-0.3944039471536075,-0.39807736359087836,0.003342338661493999,41,-0.39426714853170036,-0.3925433186877934,-0.392078028747746,-0.39462601932090974,-0.3942597960676724,-0.3935548622711644,0.00103498004585384
